Subcell_ID,Longitude,Latitude
1,72.45313,22.99479
2,72.45313,22.98438
3,72.44271,22.99479
4,72.45313,23.00521
5,72.44271,23.00521
6,72.46354,23.01563
7,72.45313,23.05729
8,72.46354,23.03646
9,72.46354,23.04688
10,72.45313,23.06771
11,72.46354,23.06771
12,72.44271,23.08854
13,72.47396,22.91146
14,72.48438,22.92188
15,72.48438,22.93229
16,72.48438,22.95313
17,72.49479,22.96354
18,72.48438,22.94271
19,72.47396,22.99479
20,72.47396,22.97396
21,72.48438,22.99479
22,72.49479,23.01563
23,72.49479,23.02604
24,72.48438,23.00521
25,72.49479,23.05729
26,72.49479,23.04688
27,72.48438,23.04688
28,72.48438,23.07813
29,72.48438,23.06771
30,72.47396,23.08854
31,72.49479,23.11979
32,72.47396,23.10938
33,72.48438,23.11979
34,72.50521,22.91146
35,72.50521,22.92188
36,72.51563,22.91146
37,72.51563,22.95313
38,72.51563,22.94271
39,72.51563,22.96354
40,72.52604,22.98438
41,72.50521,22.99479
42,72.51563,22.98438
43,72.50521,23.01563
44,72.50521,23.00521
45,72.52604,23.02604
46,72.52604,23.05729
47,72.51563,23.05729
48,72.52604,23.04688
49,72.52604,23.08854
50,72.50521,23.08854
51,72.50521,23.07813
52,72.52604,23.11979
53,72.51563,23.11979
54,72.52604,23.10938
55,72.50521,23.15104
56,72.52604,23.13021
57,72.50521,23.13021
58,72.55729,22.92188
59,72.54688,22.93229
60,72.55729,22.93229
61,72.54688,22.94271
62,72.55729,22.95313
63,72.55729,22.96354
64,72.55729,22.98438
65,72.54688,22.99479
66,72.55729,22.99479
67,72.54688,23.00521
68,72.55729,23.00521
69,72.54688,23.02604
70,72.53646,23.05729
71,72.55729,23.04688
72,72.54688,23.05729
73,72.55729,23.07813
74,72.53646,23.08854
75,72.54688,23.08854
76,72.53646,23.09896
77,72.53646,23.10938
78,72.54688,23.10938
79,72.54688,23.15104
80,72.54688,23.13021
81,72.55729,23.15104
82,72.56771,22.93229
83,72.58854,22.92188
84,72.56771,22.92188
85,72.56771,22.96354
86,72.58854,22.95313
87,72.57813,22.96354
88,72.58854,22.98438
89,72.56771,22.98438
90,72.57813,22.98438
91,72.57813,23.00521
92,72.58854,23.01563
93,72.57813,23.02604
94,72.58854,23.04688
95,72.57813,23.03646
96,72.56771,23.05729
97,72.57813,23.08854
98,72.58854,23.08854
99,72.58854,23.06771
100,72.58854,23.10938
101,72.57813,23.09896
102,72.56771,23.11979
103,72.56771,23.15104
104,72.56771,23.14063
105,72.58854,23.13021
106,72.61979,22.91146
107,72.61979,22.93229
108,72.59896,22.91146
109,72.60938,22.96354
110,72.60938,22.94271
111,72.61979,22.95313
112,72.59896,22.99479
113,72.61979,22.99479
114,72.59896,22.98438
115,72.60938,23.01563
116,72.60938,23.02604
117,72.60938,23.00521
118,72.61979,23.03646
119,72.59896,23.03646
120,72.61979,23.05729
121,72.59896,23.06771
122,72.60938,23.07813
123,72.61979,23.07813
124,72.61979,23.10938
125,72.61979,23.11979
126,72.59896,23.10938
127,72.59896,23.14063
128,72.60938,23.13021
129,72.60938,23.14063
130,72.63021,22.91146
131,72.64063,22.91146
132,72.65104,22.92188
133,72.65104,22.94271
134,72.63021,22.96354
135,72.64063,22.95313
136,72.65104,22.97396
137,72.64063,22.99479
138,72.64063,22.98438
139,72.64063,23.00521
140,72.65104,23.02604
141,72.63021,23.01563
142,72.63021,23.03646
143,72.63021,23.05729
144,72.65104,23.04688
145,72.63021,23.06771
146,72.64063,23.06771
147,72.64063,23.08854
148,72.64063,23.11979
149,72.65104,23.11979
150,72.63021,23.10938
151,72.68229,22.93229
152,72.67188,22.93229
153,72.67188,22.91146
154,72.68229,22.95313
155,72.67188,22.96354
156,72.68229,22.94271
157,72.67188,22.98438
158,72.67188,22.97396
159,72.66146,22.97396
160,72.66146,23.02604
161,72.67188,23.00521
162,72.66146,23.01563
163,72.66146,23.03646
164,72.68229,23.05729
165,72.68229,23.03646
166,72.66146,23.06771
167,72.67188,23.06771
168,72.68229,23.06771
169,72.68229,23.09896
170,72.68229,23.11979
171,72.68229,23.10938
172,72.71354,22.97396
173,72.69271,22.98438
174,72.70313,22.99479
175,72.70313,23.02604
176,72.70313,23.00521
177,72.69271,23.00521
178,72.69271,23.08854
179,72.70313,23.06771
180,72.70313,23.08854
181,72.69271,23.10938
182,72.70313,23.10938
183,72.69271,23.09896
184,72.49479,22.91146
185,72.52604,22.91146
186,72.53646,22.91146
187,72.55729,22.91146
188,72.56771,22.91146
189,72.58854,22.91146
190,72.65104,22.91146
191,72.66146,22.91146
192,72.68229,22.91146
193,72.48438,22.91146
194,72.54688,22.91146
195,72.57813,22.91146
196,72.60938,22.91146
197,72.47396,22.92188
198,72.49479,22.92188
199,72.51563,22.92188
200,72.52604,22.92188
201,72.53646,22.92188
202,72.54688,22.92188
203,72.57813,22.92188
204,72.59896,22.92188
205,72.60938,22.92188
206,72.61979,22.92188
207,72.63021,22.92188
208,72.64063,22.92188
209,72.66146,22.92188
210,72.67188,22.92188
211,72.68229,22.92188
212,72.47396,22.93229
213,72.49479,22.93229
214,72.50521,22.93229
215,72.51563,22.93229
216,72.52604,22.93229
217,72.53646,22.93229
218,72.57813,22.93229
219,72.58854,22.93229
220,72.59896,22.93229
221,72.60938,22.93229
222,72.63021,22.93229
223,72.64063,22.93229
224,72.65104,22.93229
225,72.66146,22.93229
226,72.47396,22.94271
227,72.49479,22.94271
228,72.50521,22.94271
229,72.52604,22.94271
230,72.53646,22.94271
231,72.55729,22.94271
232,72.56771,22.94271
233,72.57813,22.94271
234,72.58854,22.94271
235,72.59896,22.94271
236,72.61979,22.94271
237,72.63021,22.94271
238,72.64063,22.94271
239,72.66146,22.94271
240,72.67188,22.94271
241,72.47396,22.95313
242,72.49479,22.95313
243,72.50521,22.95313
244,72.52604,22.95313
245,72.53646,22.95313
246,72.56771,22.95313
247,72.59896,22.95313
248,72.63021,22.95313
249,72.65104,22.95313
250,72.66146,22.95313
251,72.54688,22.95313
252,72.57813,22.95313
253,72.60938,22.95313
254,72.67188,22.95313
255,72.47396,22.96354
256,72.48438,22.96354
257,72.50521,22.96354
258,72.52604,22.96354
259,72.53646,22.96354
260,72.54688,22.96354
261,72.58854,22.96354
262,72.59896,22.96354
263,72.61979,22.96354
264,72.64063,22.96354
265,72.65104,22.96354
266,72.66146,22.96354
267,72.68229,22.96354
268,72.44271,22.97396
269,72.45313,22.97396
270,72.46354,22.97396
271,72.48438,22.97396
272,72.49479,22.97396
273,72.50521,22.97396
274,72.51563,22.97396
275,72.52604,22.97396
276,72.53646,22.97396
277,72.54688,22.97396
278,72.55729,22.97396
279,72.56771,22.97396
280,72.57813,22.97396
281,72.58854,22.97396
282,72.59896,22.97396
283,72.60938,22.97396
284,72.61979,22.97396
285,72.63021,22.97396
286,72.64063,22.97396
287,72.68229,22.97396
288,72.69271,22.97396
289,72.70313,22.97396
290,72.48438,22.98438
291,72.54688,22.98438
292,72.60938,22.98438
293,72.70313,22.98438
294,72.44271,22.98438
295,72.46354,22.98438
296,72.47396,22.98438
297,72.49479,22.98438
298,72.50521,22.98438
299,72.53646,22.98438
300,72.61979,22.98438
301,72.63021,22.98438
302,72.65104,22.98438
303,72.66146,22.98438
304,72.68229,22.98438
305,72.71354,22.98438
306,72.46354,22.99479
307,72.49479,22.99479
308,72.52604,22.99479
309,72.53646,22.99479
310,72.56771,22.99479
311,72.58854,22.99479
312,72.63021,22.99479
313,72.65104,22.99479
314,72.66146,22.99479
315,72.68229,22.99479
316,72.69271,22.99479
317,72.71354,22.99479
318,72.51563,22.99479
319,72.57813,22.99479
320,72.60938,22.99479
321,72.67188,22.99479
322,72.51563,23.00521
323,72.46354,23.00521
324,72.47396,23.00521
325,72.49479,23.00521
326,72.52604,23.00521
327,72.53646,23.00521
328,72.56771,23.00521
329,72.58854,23.00521
330,72.59896,23.00521
331,72.61979,23.00521
332,72.63021,23.00521
333,72.65104,23.00521
334,72.66146,23.00521
335,72.68229,23.00521
336,72.71354,23.00521
337,72.44271,23.01563
338,72.47396,23.01563
339,72.52604,23.01563
340,72.53646,23.01563
341,72.55729,23.01563
342,72.56771,23.01563
343,72.59896,23.01563
344,72.61979,23.01563
345,72.65104,23.01563
346,72.68229,23.01563
347,72.69271,23.01563
348,72.71354,23.01563
349,72.45313,23.01563
350,72.48438,23.01563
351,72.51563,23.01563
352,72.54688,23.01563
353,72.57813,23.01563
354,72.64063,23.01563
355,72.67188,23.01563
356,72.70313,23.01563
357,72.44271,23.02604
358,72.45313,23.02604
359,72.46354,23.02604
360,72.47396,23.02604
361,72.48438,23.02604
362,72.50521,23.02604
363,72.51563,23.02604
364,72.53646,23.02604
365,72.55729,23.02604
366,72.56771,23.02604
367,72.58854,23.02604
368,72.59896,23.02604
369,72.61979,23.02604
370,72.63021,23.02604
371,72.64063,23.02604
372,72.67188,23.02604
373,72.68229,23.02604
374,72.69271,23.02604
375,72.71354,23.02604
376,72.45313,23.03646
377,72.48438,23.03646
378,72.51563,23.03646
379,72.54688,23.03646
380,72.60938,23.03646
381,72.64063,23.03646
382,72.67188,23.03646
383,72.44271,23.03646
384,72.47396,23.03646
385,72.49479,23.03646
386,72.50521,23.03646
387,72.52604,23.03646
388,72.53646,23.03646
389,72.55729,23.03646
390,72.56771,23.03646
391,72.58854,23.03646
392,72.65104,23.03646
393,72.44271,23.04688
394,72.45313,23.04688
395,72.47396,23.04688
396,72.50521,23.04688
397,72.51563,23.04688
398,72.53646,23.04688
399,72.54688,23.04688
400,72.56771,23.04688
401,72.57813,23.04688
402,72.59896,23.04688
403,72.60938,23.04688
404,72.61979,23.04688
405,72.63021,23.04688
406,72.64063,23.04688
407,72.66146,23.04688
408,72.67188,23.04688
409,72.68229,23.04688
410,72.48438,23.05729
411,72.57813,23.05729
412,72.60938,23.05729
413,72.64063,23.05729
414,72.67188,23.05729
415,72.44271,23.05729
416,72.46354,23.05729
417,72.47396,23.05729
418,72.50521,23.05729
419,72.55729,23.05729
420,72.58854,23.05729
421,72.59896,23.05729
422,72.65104,23.05729
423,72.66146,23.05729
424,72.44271,23.06771
425,72.47396,23.06771
426,72.49479,23.06771
427,72.50521,23.06771
428,72.51563,23.06771
429,72.52604,23.06771
430,72.53646,23.06771
431,72.54688,23.06771
432,72.55729,23.06771
433,72.56771,23.06771
434,72.57813,23.06771
435,72.60938,23.06771
436,72.61979,23.06771
437,72.65104,23.06771
438,72.69271,23.06771
439,72.71354,23.06771
440,72.44271,23.07813
441,72.45313,23.07813
442,72.46354,23.07813
443,72.47396,23.07813
444,72.49479,23.07813
445,72.51563,23.07813
446,72.52604,23.07813
447,72.53646,23.07813
448,72.54688,23.07813
449,72.56771,23.07813
450,72.57813,23.07813
451,72.58854,23.07813
452,72.59896,23.07813
453,72.63021,23.07813
454,72.64063,23.07813
455,72.65104,23.07813
456,72.66146,23.07813
457,72.67188,23.07813
458,72.68229,23.07813
459,72.69271,23.07813
460,72.70313,23.07813
461,72.71354,23.07813
462,72.45313,23.08854
463,72.48438,23.08854
464,72.51563,23.08854
465,72.60938,23.08854
466,72.67188,23.08854
467,72.46354,23.08854
468,72.49479,23.08854
469,72.55729,23.08854
470,72.56771,23.08854
471,72.59896,23.08854
472,72.61979,23.08854
473,72.63021,23.08854
474,72.65104,23.08854
475,72.66146,23.08854
476,72.68229,23.08854
477,72.71354,23.08854
478,72.47396,23.09896
479,72.48438,23.09896
480,72.49479,23.09896
481,72.50521,23.09896
482,72.51563,23.09896
483,72.52604,23.09896
484,72.54688,23.09896
485,72.55729,23.09896
486,72.56771,23.09896
487,72.58854,23.09896
488,72.59896,23.09896
489,72.60938,23.09896
490,72.61979,23.09896
491,72.63021,23.09896
492,72.64063,23.09896
493,72.65104,23.09896
494,72.66146,23.09896
495,72.67188,23.09896
496,72.70313,23.09896
497,72.71354,23.09896
498,72.48438,23.10938
499,72.49479,23.10938
500,72.50521,23.10938
501,72.51563,23.10938
502,72.55729,23.10938
503,72.56771,23.10938
504,72.57813,23.10938
505,72.60938,23.10938
506,72.64063,23.10938
507,72.65104,23.10938
508,72.66146,23.10938
509,72.67188,23.10938
510,72.71354,23.10938
511,72.54688,23.11979
512,72.57813,23.11979
513,72.60938,23.11979
514,72.67188,23.11979
515,72.70313,23.11979
516,72.47396,23.11979
517,72.50521,23.11979
518,72.53646,23.11979
519,72.55729,23.11979
520,72.58854,23.11979
521,72.59896,23.11979
522,72.63021,23.11979
523,72.66146,23.11979
524,72.69271,23.11979
525,72.71354,23.11979
526,72.51563,23.13021
527,72.57813,23.13021
528,72.53646,23.13021
529,72.55729,23.13021
530,72.56771,23.13021
531,72.59896,23.13021
532,72.61979,23.13021
533,72.50521,23.14063
534,72.51563,23.14063
535,72.52604,23.14063
536,72.53646,23.14063
537,72.54688,23.14063
538,72.55729,23.14063
539,72.57813,23.14063
540,72.58854,23.14063
541,72.61979,23.14063
542,72.51563,23.15104
543,72.52604,23.15104
544,72.53646,23.15104
545,72.57813,23.15104
546,72.58854,23.15104
547,72.59896,23.15104
548,72.60938,23.15104
549,72.61979,23.15104